obsC	timeC	obsI	timeI
4     2006  0       2006
86    2007  0       2007
10    2008  0       2008
66    2009  0       2009
1     2010  0       2010
102   2011  47800   2011
3962	2012	0     	2012
5308	2013	106685	2013
4237	2014	32841  	2014
7700	2015	21973 	2015
4146	2016	44923  	2016
4042	2017	35356 	2017
575	  2018	24805 	2018
1296	2019	6568  	2019
2819  2020  0       2020


