"year";"BT";"Fest";"B_Bo";"Brel";"Frel"
2012;16956;0,24;1;2;0,54
2013;12882;0,41;0,76;1,52;0,93
2014;10328;0,4;0,61;1,22;0,91
2015;9741;0,77;0,57;1,15;1,75
2016;5869;0,87;0,35;0,69;1,96
2017;4169;0,92;0,25;0,49;2,09
2018;3119;0,21;0,18;0,37;0,47
2019;4701;0,29;0,28;0,55;0,65
2020;6373;0,29;0,38;0,75;0,65
2021;8032;0,45;0,47;0,95;1,01
